"Word","Shoresh","Binyan","Book","Chapter ","Verse","Parasha",
"מְצָאתָהּ ","מ-צ-א","Paal","Gen.",38,23,"Vayeshev",
"מִבּוֹא ","ב-ו-א","Paal","Gen.",24,62,"Chayei Sarah",
"מִגֵּן ","מ-ג-ן","Piel","Gen.",14,20,"Lech Lecha",
"מִדַּבֵּר ","ד-ב-ר","Piel","Gen.",31,29,"Vayetze",
"מִהַרְתָּ ","מ-ה-ר","Piel","Gen.",27,20,"Toledot",
"מִכְרָה ","מ-כ-ר","Paal","Gen.",25,31,"Toledot",
"מִלֵּל ","מ-ל-ל","Piel","Gen.",21,7,"Vayera",
"מִלֶּדֶת ","י-ל-ד","Paal","Gen.",16,2,"Lech Lecha",
"מִקְּבֹר ","ק-ב-ר","Paal","Gen.",23,6,"Chayei Sarah",
"מִשְׁתַּחֲוִים ","שׁ-ח-ה","Hitpael","Gen.",37,9,"Vayeshev",
"מִשְׁתָּאֵה ","שׁ-א-ה","Hitpael","Gen.",24,21,"Chayei Sarah",
"מִשֶּׁבֶת ","י-שׁ-ב","Paal","Gen.",36,7,"Vayishlach",
"מִשַּׁשְׁתָּ ","מ-שׁ-שׁ","Piel","Gen.",31,37,"Vayetze",
"מִתְנַחֵם ","נ-ח-ם","Hitpael","Gen.",27,32,"Toledot",
"מִתִּתִּי ","נ-ת-ן","Paal","Gen.",29,19,"Vayetze",
"מֵבִיא ","ב-ו-א","Hifil","Gen.",6,17,"Noach",
"מֵהַכּוֹת ","נ-כ-ה","Hifil","Gen.",14,17,"Lech Lecha",
"מֵחֲטוֹ ","ח-ט-א","Paal","Gen.",20,6,"Vayera",
"מֵעֲשֹׂת ","ע-שׂ-ה","Paal","Gen.",18,25,"Vayera",
"מֵקִים ","ק-ו-ם","Hifil","Gen.",9,9,"Noach",
"מֵשִׁיב ","שׁ-ו-ב","Hifil","Gen.",20,7,"Vayera",
"מֵתָה ","מ-ו-ת","Paal","Gen.",35,18,"Vayishlach",
"מֵת ","מ-ו-ת","Paal","Gen.",20,3,"Vayera",
"מֵתוּ ","מ-ו-ת","Paal","Gen.",7,22,"Noach",
"מַגִּיעַ ","נ-ג-ע","Hifil","Gen.",28,12,"Vayetze",
"מַהֲרִי ","מ-ה-ר","Piel","Gen.",18,6,"Vayera",
"מַהֵר ","מ-ה-ר","Piel","Gen.",19,22,"Vayera",
"מַחֲרִישׁ ","ח-ר-שׁ","Hifil","Gen.",24,21,"Chayei Sarah",
"מַלֵּא ","מ-ל-א","Piel","Gen.",29,27,"Vayetze",
"מַמְטִיר ","מ-ט-ר","Hifil","Gen.",7,4,"Noach",
"מַצְלִיחַ ","צ-ל-ח","Hifil","Gen.",24,42,"Chayei Sarah",
"מַשְׁחִיתָם ","שׁ-ח-ת","Hifil","Gen.",6,13,"Noach",
"מַשְׁחִית ","שׁ-ח-ת","Hifil","Gen.",19,14,"Vayera",
"מַשְׁחִתִים ","שׁ-ח-ת","Hifil","Gen.",19,13,"Vayera",
"מָכְרוּ ","מ-כ-ר","Paal","Gen.",37,36,"Vayeshev",
"מָלְאָה ","מ-ל-א","Paal","Gen.",6,13,"Noach",
"מָלְאוּ ","מ-ל-א","Paal","Gen.",29,21,"Vayetze",
"מָלְכוּ ","מ-ל-ך","Paal","Gen.",36,31,"Vayishlach",
"מָנַע ","מ-נ-ע","Paal","Gen.",30,2,"Vayetze",
"מָצְאָה ","מ-צ-א","Paal","Gen.",8,9,"Noach",
"מָצָאנוּ ","מ-צ-א","Paal","Gen.",26,32,"Toledot",
"מָצָאתִי ","מ-צ-א","Paal","Gen.",18,3,"Vayera",
"מָצָאתָ","מ-צ-א","Paal","Gen.",31,37,"Vayetze",
"מָרָדוּ ","מ-ר-ד","Paal","Gen.",14,4,"Lech Lecha",
"מָשַׁחְתָּ ","מ-שׁ-ח","Paal","Gen.",31,13,"Vayetze",
"מָשׁוֹל ","מ-שׁ-ל","Paal","Gen.",37,8,"Vayeshev",
"מֻצָּב ","י-צ-ב","Hufal","Gen.",28,12,"Vayetze",
"מוֹת ","מ-ו-ת","Paal","Gen.",26,11,"Toledot",
"מוּצֵאת ","י-צ-א","Hufal","Gen.",38,25,"Vayeshev",
"נְגַעֲנוּךָ ","נ-ג-ע","Paal","Gen.",26,29,"Toledot",
"נְטַשְׁתַּנִי ","נ-ט-שׁ","Paal","Gen.",31,28,"Vayetze",
"נְתַתִּיהָ ","נ-ת-ן","Paal","Gen.",23,11,"Chayei Sarah",
"נְתַתִּיךָ ","נ-ת-ן","Paal","Gen.",17,5,"Lech Lecha",
"נְתָן ","נ-ת-ן","Paal","Gen.",38,9,"Vayeshev",
"נְתָנוֹ ","נ-ת-ן","Paal","Gen.",31,7,"Vayetze",
"נִבְנֶה ","ב-נ-ה","Paal","Gen.",11,4,"Noach",
"נִבְקְעוּ ","ב-ק-ע","Nifal","Gen.",7,11,"Noach",
"נִגְלוּ ","ג-ל-ה","Nifal","Gen.",35,7,"Vayishlach",
"נִגַּשׁ ","נ-ג-שׁ","Nifal","Gen.",33,7,"Vayishlach",
"נִהְיֶה ","ה-י-ה","Paal","Gen.",38,23,"Vayeshev",
"נִחַשְׁתִּי ","נ-ח-שׁ","Piel","Gen.",30,27,"Vayetze",
"נִכְבָּד ","כ-ב-ד","Nifal","Gen.",34,19,"Vayishlach",
"נִכְסַפְתָּה ","כ-ס-ף","Nifal","Gen.",31,30,"Vayetze",
"נִכְסֹף ","כ-ס-ף","Nifal","Gen.",31,30,"Vayetze",
"נִכְרְתָה ","כ-ר-ת","Nifal","Gen.",31,44,"Vayetze",
"נִלְבְּנָה ","ל-ב-ן","Paal","Gen.",11,3,"Noach",
"נִמֹּלוּ ","מ-ו-ל","Nifal","Gen.",17,26,"Lech Lecha",
"נִמּוֹל ","מ-ו-ל","Nifal","Gen.",17,26,"Lech Lecha",
"נִסְעָה ","נ-ס-ע","Paal","Gen.",33,12,"Vayishlach",
"נִסָּה ","נ-ס-ה","Piel","Gen.",22,1,"Vayera",
"נִסָּתֵר ","ס-ת-ר","Nifal","Gen.",31,49,"Vayetze",
"נִפְלְגָה ","פ-ל-ג","Nifal","Gen.",10,25,"Noach",
"נִפְרְדוּ ","פ-ר-ד","Nifal","Gen.",10,5,"Noach",
"נִפְתַּלְתִּי ","פ-ת-ל","Nifal","Gen.",30,8,"Vayetze",
"נִפְתָּחוּ ","פ-ת-ח","Nifal","Gen.",7,11,"Noach",
"נִצָּבִים ","י-צ-ב","Nifal","Gen.",18,2,"Vayera",
